,Scenario #,Logic Gate #,Logic Gate Description, Terminal Nodes,Terminal Nodes (X#s),Occurrence Probability,Phases
111,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.2","X20, X21, X23, X28, X30, X34",2.3732832311504e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
112,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.3","X20, X21, X23, X28, X30, X35",2.571056812980039e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
113,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.4","X20, X21, X23, X28, X30, X36",2.1755096137215131e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
114,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.5","X20, X21, X23, X28, X30, X37",1.9777360318918748e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
115,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.6","X20, X21, X23, X28, X30, X38",3.1643776296674504e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
116,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.7","X20, X21, X23, X28, X30, X39",2.768830430408925e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
117,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.2, 1.3.2.6.1.8","X20, X21, X23, X28, X30, X40",2.571056812980039e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
118,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.1","X20, X21, X23, X28, X31, X33",1.8129246835400348e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
119,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.2","X20, X21, X23, X28, X31, X34",1.9777360318918748e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
120,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.3","X20, X21, X23, X28, X31, X35",2.142547350577674e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
121,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.4","X20, X21, X23, X28, X31, X36",1.8129246835400348e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
122,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.3, 1.3.2.5.3, 1.3.2.6.1.5","X20, X21, X23, X28, X31, X37",1.6481133648542355e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
